CaptureID,Identity,Date,Time,Processors,Capture_method,Location,Lat,Long,Weight,Condition,Harnessing,PTTID,Wing,Tail,Bill,Head-bill,Tarsus,Moult_left,Moult_right,DNA_taken,Process_time,Notes
238,Moonlight,13/12/2022,10:35,SR,Hand,MR Aviary,,,795,Excellent,N,,,,,,,,,Y,7,"DNA for Andrew Weeks. Tarsus measurements taken. Quiet in hand, camo pose entire capture, process and release."
240,Clover,14/12/2022,16:52,SR,Hand,MR Aviary,,,710,Excellent,Y,193219,,,,,,5-3 1-1 0-6,5-3 1-1 0-6,N,9,Primaries trimmed for release. Caught postured. Fitted harness.
241,Iona,14/12/2022,10:22,SR,Hand,MR Aviary,,,685,Excellent,Y,193220,,,,,,2-2 0-8,2-2 0-8,N,28,Primaries trimmed for release. Fitted harness. Old injury outer right toe. Calm in hand.Tarsus measurements taken.
242,Sage,14/12/2022,10:22,SR,Hand,MR Aviary,,,675,Good,Y,214383,,,,,,0-10,0-10,N,14,Primaries trimmed for release. Fitted harness. No moult. Bit of fight.Tarsus measurements taken.
243,Freckle,14/12/2022,15:09,SR,Hand,MR Aviary,,,770,Excellent,N,,,,,,,,,Y,2,DNA for Andrew Weeks.
244,George,14/12/2022,15:12,SR,Hand,MR Aviary,,,595,Fair,N,,,,,,,,,Y,5,"DNA for Andrew Weeks. Band from waterfowl research Melbourne, left leg, 1004301. Hard to find pin feathers. Fair condition concerning but otherwise no evidence of illness or injury."
245,Loki,14/12/2022,17:20,SR,Hand,MR Aviary,,,,,N,,,,,,,,,Y,2,DNA for Andrew Weeks. Teen offspring of Sunny and Eclipse moved to Pen 33 and bands fitted.
246,Esa,14/12/2022,17:20,SR,Hand,MR Aviary,,,,,N,,,,,,,,,Y,2,DNA for Andrew Weeks. Teen offspring of Sunny and Eclipse moved to Pen 33 and bands fitted.
247,Groot,14/12/2022,15:00,SR,Hand,MR Aviary,,,665,Good,N,,,,,,,,,Y,3,DNA for Andrew Weeks. Couldn’t catch partner Twiggy.
248,Orchid,14/12/2022,14:40,SR,Hand,MR Aviary,,,,,N,,,,,,,,,Y,2,DNA for Andrew Weeks. Spring 2022 offspring of Pilot and Luna. Remains with parents in pen 31.
249,Marmalade,14/12/2022,13:48,SR,Hand,MR Aviary,,,735,Excellent,Y,193216,,,,,,3-1 2-1 1-1 0-7,3-1 2-1 1-1 0-7,N,15,Primaries trimmed for release. Fitted harness.Tarsus measurements taken. Fighting and clacking constantly. Moult 7-0 1-1 1-2 1-3. DNA for Andrew Weeks.
250,Quack,14/12/2022,14:12,SR,Hand,MR Aviary,,,595,Excellent,Y,193218,,,,,,5-Oct,5-Oct,N,15,"Primaries trimmed for release. Fitted harness.Tarsus measurements taken. Chatty, bit of fight. Potentially 10-5 moult."
251,Wobbles,14/12/2022,14:30,SR,Hand,MR Aviary,,,705,Excellent,Y,193217,,,,,,5-3 2-1 0-5,5-3 2-1 0-5,N,13,Primaries trimmed for release. Fitted harness.Tarsus measurements taken. Calm but clacking. Moult 5-0 1-2 3-5.
252,Rowan,14/12/2022,11:23,SR,Hand,MR Aviary,,,765,Excellent,Y,214382,,,,,,3-3 2-1 5-6,3-3 2-1 5-6,N,12,"Primaries trimmed for release. Fitted harness.Tarsus measurements taken. Hard to catch. Calm in hand, postured. Moult 6-5 1-2 3-3."
253,Brook,14/12/2022,11:38,SR,Hand,MR Aviary,,,615,Good,Y,193225,,,,,,3-3 2-1 5-6,3-3 2-1 5-6,N,10,"Primaries trimmed for release. Fitted harness.Tarsus measurements taken. Hard to catch. Calm in hand, postured. Moult 6-5 1-2 3-3."
254,Valentine,14/12/2022,13:32,SR,Hand,MR Aviary,,,635,Good,Y,193223,,,,,,,,Y,13,Primaries trimmed for release. Fitted harness.Tarsus measurements taken. DNA for Andrew Weeks.
255,Quinn,17/08/2022,14:24,"SR, BB",Net launcher,MF,-35.16832,149.18248,770,Good,N,,,,,,,,,N,6,"Found in group of 6 birds @ MF25A including white D6, unbanded, and 2x backpacks. Beak clacking in hand. Excellent harness fit, reglued frayed teflon knots."
256,Comet,16/01/2023,9:18,"SR, CH",Net launcher,MF,-35.17076,149.154703,705,Good,N,214391,,,,,,5-1 4-1 0-8,5-1 4-1 0-8,Y,16,Primaries trimmed. Feather mite samples taken. No signs of illness. Band replaced. Moult 5-1 4-1 0-8.
257,Quinn,16/01/2023,11:10,"SR, CH",Net launcher,GO,-35.170618,149.16747,730,Excellent,N,214385,,,,,,5-6 4-1 2-1 3-0,5-6 4-1 2-1 3-0,N,9,Primaries trimmed. Feather mite samples taken. No signs of illness. Band replaced. Moult 5-6 4-1 2-1 3-0.
258,Aurora,17/03/2023,22:30,SR,Hand,MR Zone 2,-37.89344,144.448313,780,Excellent,N,,,,,,,5-7 2-1 0-2,5-6 4-1 0-3,N,20,Primaries trimmed. Relocated to intersections of zones 1 and 2. Moult L: 7-5 1-2 2-0 R: 6-5 1-4 3-0.
259,Koda,18/03/2023,21:47,SR,Hand,MR Zone 1,-37.900026,144.438943,785,Good,N,,,,,,,5-3 0-5 5-2,5-3 0-5 5-2,N,6,"Spotlight on road from ATV. Breathless, panting and quacking when caught. Primaries trimmed. Moult was incomplete, only 5ves on P1-3,9-10. R side p1 bled when trimmed."
260,Brook,18/03/2023,22:47,SR,Hand,MR Zone 2,-37.894434,144.442534,670,Good,N,,,,,,,5-2 0-8,5-3 0-7,N,6,Chased on foot for ~4 mins into internal fence. Primaries trimmed. Moult L: 5-2 0-8 R: 5-3 0-7.
261,Prem,19/03/2023,11:38,SR,Hand,MR Aviary,,,640,Good,N,,,,,,,,,N,2,Checking on in aviary. Giving 2x daily amoxyclav and meloxicam. Bruising has subsided substantially- was purple along torso. Good strength in legs.
262,Valentine,19/03/2023,12:39,SR,Hand,MR Zone 2,,,735,Good,N,,,,,,,5-3 4-1 0-6,5-4 2-1 0-5,N,5,"Was with Brook, both can't fly. Glued frayed teflon. Wings clipped. Moult L: 5-3 4-1 0-6 R: 5-4 2-1 0-5."
263,Jessie,19/03/2023,14:38,SR,Hand,MR Aviary,,,760,Good,N,,,,,,,,,N,4,Summer offspring of Moonlight and Lavender. Sibling of Timber. Sub adult plumage. Moved from pen 15 -> 12 out from parents. Added to studbook. Given green (left) aviary band.
264,Timber,19/03/2023,14:48,SR,Hand,MR Aviary,,,765,Good,N,,,,,,,,,N,3,Summer offspring of Moonlight and Lavender. Sibling of Jessie. Sub adult plumage. Moved from pen 15 -> 12 out from parents. Added to studbook. Given yellow (left) aviary band.
