"dist","bird","date","release"
11.320476021781,"Aurora",2023-03-31,"October"
10.3794226259108,"Aurora",2023-04-01,"October"
12.8481361279575,"Aurora",2023-04-02,"October"
13.9376870793001,"Aurora",2023-04-03,"October"
9.39152573818111,"Aurora",2023-04-04,"October"
9.79150249618656,"Aurora",2023-04-05,"October"
11.5762577214426,"Aurora",2023-04-06,"October"
6.05391782168631,"Aurora",2023-04-07,"October"
9.11734172287975,"Aurora",2023-04-08,"October"
7.06087263651782,"Aurora",2023-04-09,"October"
10.428018079153,"Aurora",2023-04-10,"October"
10.5500130966038,"Aurora",2023-04-11,"October"
12.0221385548454,"Aurora",2023-04-12,"October"
11.7160131891372,"Aurora",2023-04-13,"October"
12.1417796257352,"Aurora",2023-04-14,"October"
13.1442144852061,"Aurora",2023-04-15,"October"
10.3696140100229,"Aurora",2023-04-16,"October"
11.330914858668,"Aurora",2023-04-17,"October"
5.32541276362309,"Aurora",2023-04-18,"October"
0.710677766299214,"Star",2022-10-29,"October"
12.5068008428455,"Star",2022-10-30,"October"
9.4211861650817,"Star",2022-10-31,"October"
11.7954849312898,"Star",2022-11-01,"October"
12.843399200176,"Star",2022-11-02,"October"
13.5195473290697,"Star",2022-11-03,"October"
13.9453569743952,"Star",2022-11-04,"October"
12.3609188633192,"Star",2022-11-05,"October"
12.3999235182711,"Star",2022-11-06,"October"
4.20111401651053,"Star",2022-11-07,"October"
2.1494781316601,"Nutmeg",2022-10-29,"October"
7.70953564719091,"Nutmeg",2022-10-30,"October"
8.58371105356237,"Nutmeg",2022-10-31,"October"
11.7937770461414,"Nutmeg",2022-11-01,"October"
17.179190510467,"Nutmeg",2022-11-02,"October"
14.0141131447798,"Nutmeg",2022-11-03,"October"
12.8673156156034,"Nutmeg",2022-11-04,"October"
14.0166637804888,"Nutmeg",2022-11-05,"October"
18.1424382827548,"Nutmeg",2022-11-06,"October"
14.2946434601406,"Nutmeg",2022-11-07,"October"
15.1572736431736,"Nutmeg",2022-11-08,"October"
19.0527178045614,"Nutmeg",2022-11-09,"October"
9.95775758699593,"Nutmeg",2022-11-10,"October"
10.5286660889508,"Nutmeg",2022-11-11,"October"
12.7104596096205,"Nutmeg",2022-11-12,"October"
13.4240155159103,"Nutmeg",2022-11-13,"October"
15.3167862597178,"Nutmeg",2022-11-14,"October"
13.7453841494379,"Nutmeg",2022-11-15,"October"
21.9668992142047,"Nutmeg",2022-11-16,"October"
22.0213730723592,"Nutmeg",2022-11-17,"October"
18.724884783827,"Nutmeg",2022-11-18,"October"
10.6460650204421,"Nutmeg",2022-11-19,"October"
8.60188411526255,"Nutmeg",2022-11-20,"October"
11.3180379038109,"Nutmeg",2022-11-21,"October"
9.39283202382062,"Nutmeg",2022-11-22,"October"
10.9896612827963,"Nutmeg",2022-11-23,"October"
11.0843064401776,"Nutmeg",2022-11-24,"October"
14.7310114375289,"Nutmeg",2022-11-25,"October"
18.5402817457809,"Nutmeg",2022-11-26,"October"
22.4960012776652,"Nutmeg",2022-11-27,"October"
14.5763424958923,"Nutmeg",2022-11-28,"October"
14.9120445008819,"Nutmeg",2022-11-29,"October"
17.3197049456332,"Nutmeg",2022-11-30,"October"
14.0673530550779,"Nutmeg",2022-12-01,"October"
18.5210921615649,"Nutmeg",2022-12-02,"October"
18.3390061730627,"Nutmeg",2022-12-03,"October"
11.9723584145975,"Nutmeg",2022-12-04,"October"
17.0677616360879,"Nutmeg",2022-12-05,"October"
11.8709159482356,"Nutmeg",2022-12-06,"October"
24.3273251237922,"Nutmeg",2022-12-07,"October"
16.5829845200974,"Nutmeg",2022-12-08,"October"
20.3405883059268,"Nutmeg",2022-12-09,"October"
26.3185099250779,"Nutmeg",2022-12-10,"October"
10.2748135771745,"Nutmeg",2022-12-11,"October"
